ISCO0804,ISCO0804title,software,robots,AI
3313,Accounting associate professionals ,121548,38210,13943
3314,"Statistical, mathematical and related associate professionals ",417136,197237,71022
3315,Valuers and loss assessors ,295309,157024,70857
3321,Insurance representatives ,124685,31069,24343
3322,Commercial sales representatives ,130381,52676,17238
3323,Buyers ,185876,97971,25325
3324,Trade brokers ,41398,28647,6298
3331,Clearing and forwarding agents ,23477,23032,1746
3332,Conference and event planners ,74290,26205,6493
3333,Employment agents and contractors ,22423,18787,6735
3334,Real estate agents and property managers ,64035,41563,8534
3339,Business services agents not elsewhere classified ,41412,13101,4172
3341,Office supervisors ,131977,64399,15508
3342,Legal secretaries ,30417,10093,2567
3343,Administrative and executive secretaries ,47925,10042,2390
3344,Medical secretaries ,31115,17625,3194
3351,Customs and border inspectors ,15681,24930,2810
3352,Government tax and excise officials ,23493,5264,2183
3353,Government social benefits officials ,37595,6842,4390
3354,Government licensing officials ,65222,18424,6630
3355,Police inspectors and detectives ,339772,157515,76517
3359,Government regulatory associate professionals not elsewhere classified ,103762,90841,15259
3411,Legal and related associate professionals ,78010,26608,13498
3412,Social work associate professionals ,109194,37116,24082
3413,Religious associate professionals ,4074,822,403
3421,Athletes and sports players ,17228,8407,8194
3422,"Sports coaches, instructors and officials ",84010,27069,30000
3423,Fitness and recreation instructors and program leaders ,36539,61560,10926
3431,Photographers ,654654,392318,176229
3432,Interior designers and decorators ,77666,22195,15209
3433,"Gallery, museum and library technicians ",53855,33615,5393
3434,Chefs ,31043,32221,6309
3511,Information and communications technology operations technicians ,596193,523757,84863
3512,Information and communications technology user support technicians ,352947,171744,44516
3513,Computer network and systems technicians ,321693,123754,42732
3514,Web technicians ,191914,76695,24354
3521,Broadcasting and audiovisual technicians ,641371,533875,126693
3522,Telecommunications engineering technicians ,622591,372826,135466
4110,General office clerks ,170282,58738,21504
4120,Secretaries (general) ,180573,58800,14117
4131,Typists and word processing operators ,431924,185313,92132
4132,Data entry clerks ,491621,267591,81825
4211,Bank tellers and related clerks ,33391,5832,2862
4212,"Bookmakers, croupiers and related gaming workers ",7553,1973,1031
4213,Pawnbrokers and money-lenders ,43125,12447,16288
4214,Debt collectors and related workers ,32795,9941,3872
4221,Travel consultants and clerks ,49204,24099,5448
4222,Contact centre information clerks ,68353,18527,5947
4223,Telephone switchboard operators ,266846,137870,23673
4224,Hotel receptionists ,103798,57043,9346
4225,Inquiry clerks ,60456,30123,8034
4226,Receptionists (general) ,41392,18164,3865
4227,Survey and market research interviewers ,151397,45916,36073
4229,Client information workers not elsewhere classified ,114154,48678,20582
4311,Accounting and bookkeeping clerks ,304020,80535,42717
4312,"Statistical, finance and insurance clerks ",146160,28135,25426
4313,Payroll clerks ,171236,63878,19103
4321,Stock clerks ,143581,93948,15550
4322,Production clerks ,222567,113598,31917
4323,Transport clerks ,246043,187836,33410
4411,Library clerks ,48121,15689,3172
4412,Mail carriers and sorting clerks ,21583,7857,1139
4413,"Coding, proofreading and related clerks ",375319,199315,63094
4414,Scribes and related workers ,43385,20414,4448
4415,Filing and copying clerks ,342852,210677,66631
4416,Personnel clerks ,116118,31774,12367
4419,Clerical support workers not elsewhere classified ,33701,8639,3136
5111,Travel attendants and travel stewards ,27809,43416,5146
5112,Transport conductors ,34577,73038,8176
5113,Travel guides ,55226,83452,12183
5120,Cooks ,46581,66209,9003
5131,Waiters ,23675,35504,3253
5132,Bartenders ,71071,89657,11959
5141,Hairdressers ,4778,6190,824
5142,Beauticians and related workers ,16546,23423,5513
5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments ",40467,70933,5018
5152,Domestic housekeepers ,53469,81517,8508
5153,Building caretakers ,34717,76083,5195
5161,"Astrologers, fortune-tellers and related workers ",23287,18534,8902
5162,Companions and valets ,8792,14831,2504
5163,Undertakers and embalmers ,65203,54951,19563
5164,Pet groomers and animal care workers ,82792,95115,27272
5165,Driving instructors ,124185,149085,33501
5169,Personal services workers not elsewhere classified ,4227,3967,971
5211,Stall and market salespersons ,81276,57418,13615
5212,Street food salespersons ,62052,44878,11871
5221,Shopkeepers ,87086,39537,11463
5222,Shop supervisors ,29866,23766,3699
5223,Shop sales assistants ,117974,62041,13979
5230,Cashiers and ticket clerks ,152773,103814,20404
5241,Fashion and other models ,88772,42088,40165
5242,Sales demonstrators ,88207,57325,12903
5243,Door-to-door salespersons ,88850,19398,11756
5244,Contact centre salespersons ,187566,45491,20727
5245,Service station attendants ,41712,92877,5479
5246,Food service counter attendants ,57741,65794,9364
5311,Child care workers ,53149,43940,12213
5312,Teachers' aides ,171085,113789,45266
5321,Health care assistants ,230876,224434,65055
5322,Home-based personal care workers ,163417,114191,47279
5329,Personal care workers in health services not elsewhere classified ,121770,224439,27388
5411,Firefighters ,9867,21822,2072
5412,Police officers ,6353,15529,1656
5413,Prison guards ,14228,12859,1642
5414,Security guards ,36228,56570,4848
5419,Protective services workers not elsewhere classified ,7297,24210,2860
6111,Field crop and vegetable growers ,48455,47669,8082
6112,Tree and shrub crop growers ,47810,46548,7830
6113,"Gardeners, horticultural and nursery growers ",86837,77167,12653
6114,Mixed crop growers ,66387,58963,11587
6121,Livestock and dairy producers ,70993,66379,16278
6122,Poultry producers ,124384,81171,22304
6123,Apiarists and sericulturists ,85258,78242,16645
6129,Animal producers not elsewhere classified ,112074,97500,27317
6130,Mixed crop and animal producers ,60925,43096,11311
6210,Forestry and related workers ,23925,38150,7425
6221,Aquaculture workers ,87574,69925,36567
6222,Inland and coastal waters fishery workers ,65952,54341,18417
6223,Deep-sea fishery workers ,18975,25976,8578
6224,Hunters and trappers ,43188,35910,8288
6310,Subsistence crop farmers ,7235,9685,1499
6320,Subsistence livestock farmers ,90320,66824,24775
6330,Subsistence mixed crop and livestock farmers ,15853,16026,3868
6340,"Subsistence fishers, hunters, trappers and gatherers ",5202,2733,1009
7111,House builders ,38074,53114,8814
7112,Bricklayers and related workers ,8631,16710,1305
7113,"Stonemasons, stone cutters, splitters and carvers ",16014,23226,3876
7114,"Concrete placers, concrete finishers and related workers ",8771,38758,3733
7115,Carpenters and joiners ,65369,102796,14672
7119,Building frame and related trades workers not elsewhere classified ,1678,7259,355
7121,Roofers ,66103,40975,22297
7122,Floor layers and tile setters ,247272,215433,63779
7123,Plasterers ,16346,50824,4021
7124,Insulation workers ,486569,443004,128120
7125,Glaziers ,141744,91063,39186
7126,Plumbers and pipe fitters ,361449,399559,77838
7127,Air conditioning and refrigeration mechanics ,184438,267316,29966
7131,Painters and related workers ,67072,93199,21980
7132,Spray painters and varnishers ,67684,131468,27104
7133,Building structure cleaners ,14216,62959,4222
7211,Metal moulders and coremakers ,54970,160631,12719
7212,Welders and flame cutters ,115256,269859,28827
7213,Sheet metal workers ,187933,228153,42876
7214,Structural metal preparers and erectors ,156634,305571,39275
7215,Riggers and cable splicers ,164700,269473,44680
7221,"Blacksmiths, hammersmiths and forging press workers ",169822,290514,43838
7222,Toolmakers and related workers ,259205,343242,55021
7223,Metal working machine tool setters and operators ,404934,522382,97434
7224,"Metal polishers, wheel grinders and tool sharpeners ",106540,234336,29563
7231,Motor vehicle mechanics and repairers ,264401,389513,60714
7232,Aircraft engine mechanics and repairers ,293933,338084,43903
7233,Agricultural and industrial machinery mechanics and repairers ,184857,289399,30246
7234,Bicycle and related repairers ,96215,228249,23004
7311,Precision-instrument makers and repairers ,395004,459684,61677
7312,Musical instrument makers and tuners ,113250,121809,20083
7313,Jewellery and precious metal workers ,158070,163450,42992
7314,Potters and related workers ,73596,177475,18981
7315,"Glass makers, cutters, grinders and finishers ",295469,365626,83650
7316,"Signwriters, decorative painters, engravers and etchers ",303433,242516,93597
7317,"Handicraft workers in wood, basketry and related materials ",43396,54333,9918
7318,"Handicraft workers in textile, leather and related materials ",20294,24458,8443
7321,Pre-press technicians ,749454,622138,174909
7322,Printers ,502047,484914,107339
7323,Print finishing and binding workers ,458701,472199,87379
7411,Building and related electricians ,345024,318655,67543
7412,Electrical mechanics and fitters ,230562,415124,42160
7413,Electrical line installers and repairers ,189867,282258,40989
7421,Electronics mechanics and servicers ,582131,615407,107935
7422,Information and communications technology installers and servicers ,431602,209815,64148
7511,"Butchers, fishmongers and related food preparers ",35410,26447,10399
7512,"Bakers, pastry-cooks and confectionery makers ",123433,157816,26720
7513,Dairy products makers ,258741,234301,90333
7514,"Fruit, vegetable and related preservers ",96871,53804,28099
7515,Food and beverage tasters and graders ,163743,146131,38705
7516,Tobacco preparers and tobacco products makers ,18309,32380,4533
7521,Wood treaters ,215549,351909,32396
7522,Cabinet-makers and related workers ,208980,267538,44227
7523,Woodworking machine tool setters and operators ,310536,344831,61576
7531,"Tailors, dressmakers, furriers and hatters ",45597,25580,16575
7532,Garment and related patternmakers and cutters ,383957,263997,133396
7533,"Sewing, embroidery and related workers ",68146,102230,27475
7534,Upholsterers and related workers ,53556,69328,19591
7535,"Pelt dressers, tanners and fellmongers ",6508,8240,4634
7536,Shoemakers and related workers ,103384,138124,32107
